Codi,Barris,Any,Preu_m2
1,el Raval  ,2014,10.47
1,el Raval  ,2015,11.10
1,el Raval  ,2016,12.26
1,el Raval  ,2017,13.92
1,el Raval  ,2018,14.02
1,el Raval  ,2019,14.32
1,el Raval  ,2020,14.04
1,el Raval  ,2021,12.91
1,el Raval  ,2022,15.22
1,el Raval  ,2023,15.89
1,el Raval  ,2024,15.94
1,el Raval  ,2025,16.61
2,el Barri Gòtic  ,2014,10.54
2,el Barri Gòtic  ,2015,11.21
2,el Barri Gòtic  ,2016,13.04
2,el Barri Gòtic  ,2017,14.19
2,el Barri Gòtic  ,2018,13.80
2,el Barri Gòtic  ,2019,14.30
2,el Barri Gòtic  ,2020,13.63
2,el Barri Gòtic  ,2021,12.59
2,el Barri Gòtic  ,2022,15.65
2,el Barri Gòtic  ,2023,16.44
2,el Barri Gòtic  ,2024,16.22
2,el Barri Gòtic  ,2025,16.49
3,la Barceloneta  ,2014,15.15
3,la Barceloneta  ,2015,16.33
3,la Barceloneta  ,2016,18.18
3,la Barceloneta  ,2017,19.84
3,la Barceloneta  ,2018,16.88
3,la Barceloneta  ,2019,17.40
3,la Barceloneta  ,2020,17.28
3,la Barceloneta  ,2021,16.00
3,la Barceloneta  ,2022,18.77
3,la Barceloneta  ,2023,18.98
3,la Barceloneta  ,2024,19.97
3,la Barceloneta  ,2025,22.70
4,"Sant Pere, Santa Caterina i la Ribera  ",2014,11.24
4,"Sant Pere, Santa Caterina i la Ribera  ",2015,12.70
4,"Sant Pere, Santa Caterina i la Ribera  ",2016,14.09
4,"Sant Pere, Santa Caterina i la Ribera  ",2017,15.71
4,"Sant Pere, Santa Caterina i la Ribera  ",2018,15.02
4,"Sant Pere, Santa Caterina i la Ribera  ",2019,15.16
4,"Sant Pere, Santa Caterina i la Ribera  ",2020,14.62
4,"Sant Pere, Santa Caterina i la Ribera  ",2021,13.59
4,"Sant Pere, Santa Caterina i la Ribera  ",2022,16.05
