Codi,Barris,Any,Preu_m2
2,el Barri Gòtic,2014,10.54
2,el Barri Gòtic,2015,11.21
2,el Barri Gòtic,2016,13.04
2,el Barri Gòtic,2017,14.19
2,el Barri Gòtic,2018,13.80
2,el Barri Gòtic,2019,14.30
2,el Barri Gòtic,2020,13.63
2,el Barri Gòtic,2021,12.59
2,el Barri Gòtic,2022,15.65
2,el Barri Gòtic,2023,16.44
2,el Barri Gòtic,2024,16.22
2,el Barri Gòtic,2025,16.49
3,la Barceloneta,2014,15.15
3,la Barceloneta,2015,16.33
3,la Barceloneta,2016,18.18
3,la Barceloneta,2017,19.84
3,la Barceloneta,2018,16.88
3,la Barceloneta,2019,17.40
3,la Barceloneta,2020,17.28
3,la Barceloneta,2021,16.00
3,la Barceloneta,2022,18.77
3,la Barceloneta,2023,18.98
3,la Barceloneta,2024,19.97
3,la Barceloneta,2025,22.70
7,la Dreta de l'Eixample,2014,10.06
7,la Dreta de l'Eixample,2015,11.29
7,la Dreta de l'Eixample,2016,12.86
7,la Dreta de l'Eixample,2017,13.54
7,la Dreta de l'Eixample,2018,13.96
7,la Dreta de l'Eixample,2019,14.40
7,la Dreta de l'Eixample,2020,14.16
7,la Dreta de l'Eixample,2021,13.15
7,la Dreta de l'Eixample,2022,15.00
7,la Dreta de l'Eixample,2023,16.59
7,la Dreta de l'Eixample,2024,16.76
7,la Dreta de l'Eixample,2025,17.40
31,la Vila de Gràcia,2014,11.25
31,la Vila de Gràcia,2015,12.30
31,la Vila de Gràcia,2016,13.50
31,la Vila de Gràcia,2017,15.01
31,la Vila de Gràcia,2018,14.60
31,la Vila de Gràcia,2019,15.10
31,la Vila de Gràcia,2020,14.91
31,la Vila de Gràcia,2021,14.13
31,la Vila de Gràcia,2022,15.96
31,la Vila de Gràcia,2023,17.48
31,la Vila de Gràcia,2024,17.89
31,la Vila de Gràcia,2025,18.50
68,el Poblenou,2014,10.57
68,el Poblenou,2015,11.73
68,el Poblenou,2016,12.79
68,el Poblenou,2017,13.97
68,el Poblenou,2018,14.46
68,el Poblenou,2019,15.08
68,el Poblenou,2020,14.92
68,el Poblenou,2021,14.33
68,el Poblenou,2022,16.51
68,el Poblenou,2023,17.78
68,el Poblenou,2024,18.11
68,el Poblenou,2025,18.29
